Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ESABINDIA,EQ,5427,-1.07,8353.79,0.03,1.43
TTKPRESTIG,EQ,656.4,-0.26,8989.4,0.22,1.42
PIXTRANS,EQ,1379.9,-0.4,1880.14,0.1,1.42
MOM100,EQ,61.98,-0.18,676.54,2.27,1.41
SAHAJSOLAR,SM,262,1.97,575.67,0.54,1.41
TVSELECT,BE,418,4.57,779.58,0.34,1.41
NELCAST,EQ,163.15,0.13,1419.42,0.86,1.4
MUTHOOTMF,EQ,159.5,0.96,2719.35,0.88,1.4
SGBFEB32IV,GB,11965,-0.16,15299.43,0.01,1.4
3IINFOLTD,EQ,23.63,3.32,400.83,5.86,1.39
TOUCHWOOD,EQ,111.95,5.81,124.05,1.24,1.38
BAJEL,BE,209,-2.16,2416.47,0.67,1.38
ACLGATI,EQ,63,-0.28,926.58,2.21,1.38
MAXIND,EQ,218.17,1.56,1138.74,0.63,1.38
GRINFRA,EQ,1279,0.33,12373.09,0.11,1.37
DOLATALGO,EQ,82,-0.24,1443.2,1.67,1.37
JLHL,EQ,1407,0.87,9225.14,0.1,1.37
ROLEXRINGS,EQ,1386.2,-2.23,3775.08,0.1,1.37
DEN,EQ,36.37,-1.3,1735.66,3.74,1.37
BASILIC,SM,452.05,-1.25,1050.56,0.3,1.37
AWHCL,EQ,593.5,-1.23,1684.48,0.23,1.37
BIRLAMONEY,EQ,170.15,-2.64,961.5,0.79,1.37
IT,EQ,38.86,-0.03,383.02,3.53,1.36
MSCIINDIA,EQ,29.61,-0.44,528.82,4.58,1.36
BANKIETF,EQ,56.57,-1,3008.91,2.39,1.36
DHAMPURSUG,EQ,130.02,-2.16,836.11,1.03,1.35
MAXESTATES,EQ,459,-0.64,7391.2,0.29,1.34
SESHAPAPER,EQ,263.45,-3.67,1661.53,0.5,1.33
SGBDE31III,GB,11208,-0.01,13569.31,0.01,1.33
SANOFICONR,EQ,5157.8,-1.82,11878.73,0.03,1.33
MUFTI,EQ,120.98,-1.59,790.85,1.1,1.33
MIDSMALL,EQ,48.54,0,362.92,2.73,1.33
VINDHYATEL,EQ,1518,-2.06,1798.96,0.09,1.32
KRONOX,EQ,171,1.45,634.48,0.78,1.31
YASHO,EQ,1703.1,-1.11,2053.44,0.08,1.3
UTKARSHBNK,EQ,21.4,-0.09,2357.45,6.09,1.3
SATIN,EQ,140.5,0.43,1552.12,0.92,1.3
SUVEN,BE,230.1,-1.81,5017.88,0.56,1.3
RPGLIFE,EQ,2336.5,-0.18,3864.34,0.06,1.3
MSPL,EQ,31.77,-0.35,1800.71,4.11,1.3
PVTBANIETF,EQ,26.9,-1.03,3209.75,4.78,1.29
MARINE,BE,171.45,-0.84,2365.06,0.74,1.27
725GS2063,GS,101.5,-0.08,243600,1.25,1.27
AHLUCONT,EQ,930.8,-1.01,6235.2,0.14,1.27
RUSTOMJEE,EQ,650,-0.14,8193.52,0.19,1.26
MAYASHEEL,SM,60.9,-1.77,134.28,2.1,1.26
AONELIQUID,EQ,1022.37,0.04,234.22,0.12,1.25
UNIVCABLES,EQ,718.25,-1.43,2492,0.17,1.25
PUNJABCHEM,EQ,1202.9,-1.36,1475.02,0.1,1.25
SUMMITSEC,EQ,2108.9,0.36,2299.08,0.06,1.25
ZTECH,SM,529,-0.06,758.07,0.23,1.25
INDOTHAI,BE,166,-0.95,1943.65,0.73,1.24
ADOR,EQ,910,0.31,1583.66,0.14,1.24
KOTYARK,SM,352,-6.89,361.82,0.35,1.24
MAYURUNIQ,EQ,541.9,-0.58,2354.7,0.23,1.24
CUDML,SM,146,2.24,257.63,0.84,1.24
AVADHSUGAR,EQ,444,-2.5,888.82,0.28,1.23
MHRIL,EQ,360.55,-0.5,7283.72,0.34,1.23
KRISHIVAL,BE,409,2.38,911.87,0.3,1.23
EBBETF0430,EQ,1529.39,0.09,25309.28,0.08,1.23
RPPINFRA,EQ,116,3.29,575.2,1.08,1.23
BANKETF,EQ,560.37,-1.09,254.87,0.22,1.22
MANGLMCEM,EQ,729.1,-1.57,2004.83,0.17,1.21
HAPPYFORGE,EQ,945.5,-0.96,8914.74,0.13,1.21
ASALCBR,EQ,1051.2,-1.46,1900.49,0.11,1.21
DREDGECORP,EQ,613.5,-2.77,1717.8,0.19,1.21
738GS2027,GS,103.6,-0.35,147112,1.16,1.21
SPORTKING,EQ,111.1,-0.07,1411.77,1.09,1.2
ESILVER,EQ,115,0.9,265.39,1.05,1.2
GROWWDEFNC,EQ,77.32,0.25,213.73,1.54,1.19
GICHSGFIN,EQ,176.99,-1.69,953.11,0.67,1.19
UNIMECH,BE,1080,-1.07,5492.54,0.11,1.18
GARFIBRES,EQ,815.05,-0.06,8090.66,0.14,1.18
KOTHARIPET,EQ,168.65,-0.45,992.44,0.69,1.17
UYFINCORP,EQ,14.87,9.02,282.88,7.9,1.16
MIEL,SM,33.1,19.93,58.25,3.62,1.16
SCILAL,EQ,49.7,-0.78,2315.02,2.32,1.16
CEWATER,EQ,547,-0.4,1132.08,0.21,1.15
THOMASCOTT,BE,373,-3.24,472.33,0.3,1.15
ITIETF,EQ,38.68,-0.44,472.71,2.96,1.15
MOCAPITAL,EQ,44.59,0.18,75.58,2.56,1.14
VAKRANGEE,EQ,9.06,0,981.37,12.56,1.14
SHALBY,EQ,197.6,0.64,2134.27,0.57,1.12
DAVANGERE,EQ,3.35,6.01,315.18,34.07,1.12
EBBETF0431,EQ,1369,0.07,13118.37,0.08,1.1
GPTINFRA,EQ,116,-2.98,1465.83,0.93,1.1
MOREALTY,EQ,91.13,-0.91,120.11,1.2,1.1
ATULAUTO,EQ,447,-0.59,1240.48,0.25,1.1
HARDWYN,EQ,13.81,-1,674.53,7.86,1.09
RCOM,BE,1.83,4.57,506.09,60.17,1.09
VIVIANA,ST,1232,-1.27,773.26,0.09,1.09
MANAKALUCO,EQ,29.5,1.03,193.33,3.69,1.09
NAGREEKEXP,EQ,27.28,2.36,85.25,3.82,1.09
MOLDTECH,EQ,160,1.09,460.88,0.68,1.09
SUNDROP,EQ,830,1.08,3128.84,0.13,1.08
FIBERWEB,EQ,48.43,-0.21,139.44,2.21,1.08
FAZE3Q,EQ,483,-2.73,1174.61,0.22,1.08
BHAGCHEM,EQ,279.35,-1.43,3622.31,0.38,1.07
ZODIAC,BE,412.5,4.05,623.85,0.26,1.07
VIPCLOTHNG,EQ,36.5,-0.33,328.97,2.89,1.07
GREENPANEL,EQ,264.1,-0.71,3238.59,0.4,1.07
SRHHYPOLTD,EQ,610,-0.44,1047.05,0.18,1.07
PITTIENG,EQ,948.95,-0.42,3573.14,0.11,1.07
TAC,SM,1086.65,5,1138.77,0.1,1.06
SACHEEROME,SM,175,-2.23,391.52,0.6,1.06
DEVIT,EQ,44.73,-7.6,251.99,2.32,1.06
SHREEKARNI,SM,495,-3.24,357.82,0.21,1.06
VIESL,SM,168,2.44,413.99,0.62,1.05
TINNARUBR,EQ,843,0.77,1518.73,0.12,1.05
GCHOTELS,SM,223.75,-2.72,557.57,0.47,1.05
THEJO,EQ,1928.2,-1.67,2091.4,0.05,1.05
KOPRAN,EQ,159,-1.21,767.77,0.65,1.04
OSWALGREEN,EQ,42.4,1.15,1088.87,2.46,1.04
LIKHITHA,EQ,250,-0.48,986.25,0.42,1.04
AARVI,EQ,121,4.54,179.21,0.85,1.04
MANBA,EQ,138.35,0.12,695.06,0.75,1.04
AMCL,ST,167,-3.5,197.64,0.62,1.04
SETFNN50,EQ,720.7,-0.52,2550.02,0.14,1.04
MALLCOM,EQ,1211.9,-2.38,756.23,0.08,1.04
MONOLITH,ST,395.1,-1.23,858.79,0.26,1.04
AMDIND,EQ,50.95,1.66,97.65,1.97,1.04
IRBINVIT,IV,63.39,0.27,3679.79,1.64,1.04
SURYODAY,EQ,130.7,1.89,1389.14,0.79,1.03
PASHUPATI,EQ,687,-0.19,1084.36,0.15,1.03
BANKNIFTY1,EQ,571.02,-0.95,5131.3,0.18,1.03
STERTOOLS,EQ,320,-0.85,1157.9,0.32,1.03
FOODSIN,BE,90,-2.78,660.73,1.13,1.03
GPECO,ST,585,-0.81,692.1,0.17,1.03
AARON,EQ,433,-1.78,453.49,0.24,1.02
AKIKO,ST,146.85,4.97,158.15,0.7,1.02
NAHARPOLY,BE,289.7,0.21,712.31,0.36,1.02
KECL,EQ,120.8,-1.65,802.28,0.83,1.01
ESTER,EQ,110.09,1.5,1074.33,0.92,1.01
CYBERTECH,EQ,162,3.77,504.32,0.63,1.01
GROWWNET,EQ,10.86,-0.46,19.73,9.3,1.01
GROWWSLVR,EQ,113.39,0.83,37.87,0.88,1
APOLLOPIPE,EQ,404.95,0.36,1783.73,0.25,1
TASTYBITE,EQ,9760,0.09,2504.42,0.01,0.99
JAYBEE,SM,216.1,-0.51,487.69,0.46,0.99
NURECA,EQ,245.9,0.54,245.9,0.41,0.99
KKCL,EQ,512.2,-0.8,3156.44,0.19,0.99
URJA,EQ,13.6,-1.66,714.62,7.23,0.99
WSI,EQ,78.01,-5.73,494.46,1.23,0.99
SPUNWEB,SM,150.05,-1.57,361.67,0.65,0.98
APEX,EQ,226.5,-1.5,707.81,0.43,0.98
PFS,EQ,39.97,-0.4,2567.21,2.44,0.98
SINDHUTRAD,EQ,23.8,-1.29,3669.79,4.07,0.97
KHAICHEM,BE,108,0.63,1047.48,0.91,0.97
RAMRAT,EQ,698,-1.28,3254.53,0.14,0.97
RANEHOLDIN,EQ,1505,-0.28,2148.81,0.06,0.97
NITCO,EQ,125.34,-0.84,2866.8,0.77,0.97
PILANIINVS,EQ,5033,-1.13,5572.66,0.02,0.97
ALLDIGI,EQ,958.5,-0.26,1460.59,0.1,0.96
KRYSTAL,BE,630,1.64,880.23,0.15,0.96
WHEELS,EQ,752.05,-1.61,1837.48,0.13,0.95
RBZJEWEL,EQ,135.5,-1.19,542,0.69,0.94
PRIZOR,ST,282.1,0.39,301.6,0.33,0.93
AGARWALTUF,SM,147,-1.38,259.82,0.62,0.93
PROZONER,EQ,41.99,-1.32,640.78,2.2,0.93
CONTROLPR,EQ,773.7,-1.43,1237.47,0.12,0.92
RESPONIND,EQ,202.62,-2.88,5402.02,0.45,0.92
OWAIS,SM,456,-7.03,829.12,0.19,0.91
SUPREMEPWR,ST,203,-1.5,507.32,0.44,0.9
GREENPLY,EQ,309.1,-0.05,3860.05,0.29,0.9
AVPINFRA,SM,183,-2.14,457.12,0.49,0.9
INFIBPP,E1,10.01,1.83,700.69,9.05,0.9
KUANTUM,EQ,113.5,-1.63,990.44,0.78,0.89
BESTAGRO,EQ,385,-0.22,910.32,0.23,0.89
AXISILVER,EQ,114.17,0.76,389.74,0.78,0.88
SELAN,EQ,550,-2.09,836,0.16,0.88
TARSONS,EQ,326.35,-0.5,1736.39,0.27,0.88
NECLIFE,BE,15.8,3.27,354.33,5.64,0.88
MANORG,BE,607.05,-0.08,519.9,0.15,0.88
METALIETF,EQ,9.41,-1.05,155.15,9.33,0.88
GNA,EQ,316,-2.14,1356.61,0.28,0.88
AEROENTER,EQ,92.4,1.15,1044.91,0.95,0.87
WALCHANNAG,BE,185.5,-0.68,1257.38,0.47,0.87
KODYTECH,SM,716,-5.04,912.73,0.12,0.87
GTL,EQ,10.18,2.52,160.13,8.5,0.87
FINIETF,EQ,30.14,-0.1,206.05,2.87,0.86
OILIETF,EQ,11.3,-0.7,191.83,7.61,0.86
CELLECOR,ST,33.45,0.45,728.13,2.58,0.86
COMSYN,EQ,138.4,-1.49,552.94,0.62,0.86
VERTOZ,EQ,81.99,0.33,698.8,1.05,0.86
CENTENKA,EQ,500,0.42,1092.53,0.17,0.86
SURAJLTD,EQ,330.75,-2.69,607.39,0.25,0.85
SNOWMAN,EQ,54.15,0.35,904.78,1.58,0.85
SADHNANIQ,BE,6.92,1.91,227.95,12.33,0.85
RUCHIRA,EQ,140.2,-1.73,418.43,0.6,0.85
NITINSPIN,EQ,349.15,-0.67,1962.92,0.24,0.85
BANSALWIRE,EQ,370.2,-0.7,5795.7,0.23,0.85
JAINIK,ST,133.75,0.56,191.9,0.64,0.85
ESAFSFB,EQ,29.54,-1.24,1522.82,2.85,0.84
KAYA,BE,435.1,0.66,569.87,0.19,0.84
SGBSEP31II,GB,11190,-0.18,13063.16,0.01,0.84
SONAMLTD,EQ,50.79,-5.22,203.32,1.63,0.84
GROWWGOLD,EQ,97.84,0.13,114.24,0.85,0.83
ASIANTILES,BE,62.88,-1.07,1458.26,1.32,0.83
MUKKA,EQ,26.92,-0.92,807.6,3.08,0.83
79NHIT35,N1,314.25,-1.18,471.38,0.26,0.82
COOLCAPS,SM,81.8,0.18,945.61,1.02,0.82
PUSHPA,SM,144.25,2.71,349.42,0.57,0.82
VENUSREM,BE,510,1.59,681.72,0.16,0.81
SILVERCASE,EQ,11.66,0.78,88.65,6.93,0.81
SHKSIL,SM,60,1.35,115.15,1.34,0.81
VSSL,EQ,254.5,0.41,2456.01,0.32,0.81
RELTD,BE,144.4,-0.2,2578.33,0.56,0.81
MMFL,EQ,318.15,-0.06,1536.08,0.25,0.8
AUTOIETF,EQ,26,-0.15,161.73,3.08,0.8
DHANBANK,EQ,27.15,0.22,1071.61,2.94,0.8
GMBREW,EQ,679.75,-0.28,1553.02,0.12,0.8
ABINFRA,BE,193.95,-0.03,1238.93,0.41,0.8
SHRIAHIMSA,SM,200,0.86,466.6,0.4,0.79
RADIANTCMS,EQ,59.01,0.22,629.68,1.34,0.79
GANDHAR,EQ,150.25,-1.75,1470.64,0.52,0.79
CHEMCON,EQ,226.9,0.08,831.15,0.35,0.79
SKP,SM,232,1.75,385.12,0.34,0.79
PRITIKA,SM,89.9,1.07,237.02,0.86,0.78
ASHIANA,EQ,310.7,-0.67,3123.31,0.25,0.78
AAKAAR,SM,93.15,-2.1,132.02,0.86,0.78
VIKASLIFE,EQ,2.31,-0.86,429.12,33.92,0.78
MOMENTUM50,EQ,52.1,0.23,228.46,1.5,0.78
718GS2037,GS,103,-0.96,177160,0.75,0.78
BALAJEE,EQ,51.4,-1.32,419.27,1.49,0.77
XPROINDIA,EQ,1105,0.24,2464.19,0.07,0.77
JINDALPOLY,EQ,522,-0.32,2285.65,0.15,0.77
TVSSRICHAK,EQ,2911,-0.43,2228.97,0.03,0.77
GROWWRAIL,EQ,34.79,-0.46,71.3,2.19,0.76
MOTOUR,EQ,93.55,-0.17,1.4,0.81,0.76
SGBAUG29V,GB,10380,-0.25,2379.87,0.01,0.76
EXCEL,BE,1.32,1.54,186.21,57,0.75
DIVGIITTS,EQ,661.2,-0.59,2022.14,0.11,0.75
KDL,SM,268.2,-0.06,322.48,0.28,0.75
ESFL,SM,407.65,-1.9,1012.56,0.18,0.75
PVP,EQ,20.97,4.85,546.07,3.61,0.75
BALKRISHNA,EQ,21,2.54,67.66,3.36,0.75
OMINFRAL,EQ,108.12,-1.18,1041.24,0.69,0.75
STEELCAS,EQ,1096,0.39,2218.3,0.07,0.74
ORIENTPPR,EQ,27.8,-1.28,589.88,2.66,0.74
SETFNIFBK,EQ,565.61,-0.98,3915.99,0.13,0.73
EXPLEOSOL,EQ,1053,-1.63,1634.23,0.07,0.73
BARBEQUE,EQ,265.05,-0.6,1035.84,0.28,0.73
MBLINFRA,EQ,42.8,2.76,652.83,1.69,0.72
NARMADA,EQ,22,-3.13,83.46,3.24,0.72
YUKEN,EQ,1010,1.17,1313,0.07,0.72
VEEDOL,EQ,1631.1,-1.13,2842.03,0.04,0.72
BAHETI,SM,579,0.17,600.34,0.12,0.72
AARADHYA,ST,117,3.54,165.41,0.61,0.71
NDTV,BE,149.9,-0.64,966.42,0.48,0.71
TEXINFRA,EQ,96.6,-1.47,1230.94,0.73,0.71
SAVY,SM,137,0.48,285.08,0.52,0.71
STANLEY,EQ,309.15,0.26,1766.04,0.23,0.7
ABSMARINE,SM,202,-1.73,495.91,0.34,0.7
TCIEXP,EQ,697.5,0.72,2677.86,0.1,0.7
GICL,SM,118.5,-0.88,331.67,0.58,0.7
TRANSTEEL,SM,131,-1.17,280.94,0.52,0.69
HARSHA,EQ,411,-1.02,3741.91,0.17,0.69
OLIL,SM,251.4,0.82,90.6,0.28,0.69
SGBMAY29I,GB,10379,0.31,5520.56,0.01,0.68
DENTALKART,SM,613.1,-0.18,1019.08,0.11,0.68
MIDCAPIETF,EQ,22.1,-0.14,504.28,3.07,0.68
SOTL,EQ,406.1,-0.68,2784.24,0.17,0.68
MMP,EQ,284.9,0.51,723.72,0.24,0.67
ABSLLIQUID,EQ,1000.01,0,45.54,0.07,0.67
TRU,BE,10.85,2.36,128.97,6.6,0.67
SCHAND,EQ,196.7,-1.31,693.36,0.34,0.67
ADFFOODS,EQ,230,-0.37,2526.86,0.29,0.67
HUHTAMAKI,EQ,215,-0.89,1623.72,0.31,0.67
SELLOWRAP,SM,104,1.56,142.94,0.64,0.66
PVSL,EQ,116.99,-1.64,832.95,0.57,0.66
HCL-INSYS,BE,15.97,5,525.75,4.24,0.66
ONEPOINT,BE,45.67,1.29,1200.56,1.44,0.66
ACCELYA,EQ,1410,-1.01,2104.6,0.05,0.66
APCOTEXIND,EQ,393,-1.75,2037.51,0.17,0.66
CUBEINVIT,IV,131,1.55,17607.31,0.5,0.66
ITDC,EQ,553,-0.72,4743.05,0.12,0.65
ELIN,BE,180.5,1.11,896.35,0.36,0.65
ANDHRAPAP,EQ,73.76,-2.51,1466.72,0.88,0.65
830NHAI27,N2,1116,0.63,3663.85,0.06,0.65
AXISVALUE,EQ,28.36,-0.32,11.48,2.3,0.65
ASAL,EQ,491.1,-1.8,779.1,0.13,0.65
EVERESTIND,EQ,620.05,-2.05,980.91,0.11,0.65
NRVANDANA,SM,45,0,104.83,1.44,0.65
SARLAPOLY,BE,111.4,-1.18,930.22,0.58,0.64
MENONBE,EQ,126.6,-2.1,709.47,0.5,0.64
PRABHA,EQ,255.25,-1.35,3494.51,0.25,0.64
READYMIX,SM,118.05,0.9,129.37,0.52,0.64
TTKHLTCARE,EQ,1149,0.35,1623.58,0.06,0.64
LAWSIKHO,SM,149,2.09,237.06,0.43,0.63
RPEL,EQ,598.7,-0.4,2748.75,0.11,0.63
JNKINDIA,EQ,300.95,-0.59,1683.93,0.21,0.63
MONTECARLO,EQ,583.5,-0.26,1209.72,0.11,0.63
ADVANIHOTR,EQ,64,0.47,591.61,0.98,0.63
GAYAPROJ,BZ,8.73,-0.34,163.42,6.95,0.63
ICEMAKE,EQ,740.7,1.17,1168.8,0.08,0.62
LLOYDSENPP,E1,49.51,-1.88,1527.47,1.26,0.62
ITETF,EQ,36.85,-0.73,168.86,1.68,0.62
UTTAMSUGAR,EQ,263.3,-1.48,1004.18,0.23,0.62
MAZDA,EQ,287,-0.95,574.72,0.21,0.62
APS,ST,514.5,-1.04,1033.63,0.12,0.62
MATRIMONY,EQ,511,0.66,1101.89,0.12,0.61
SPCENET,BE,4.85,-5.09,274.56,12.61,0.61
DWARKESH,EQ,40.95,-0.61,758.81,1.5,0.61
BHADORA,ST,109.25,-1.22,203.21,0.55,0.61
BLSE,BE,180.5,0.34,1639.96,0.34,0.61
AMBIKCO,EQ,1484.7,-1.52,849.99,0.04,0.61
JAINAM,SM,282.1,0.53,330.37,0.23,0.61
GROWWEV,EQ,30.1,-0.17,274.02,2.02,0.61
RACE,EQ,226,-0.44,390.01,0.27,0.61
BUTTERFLY,EQ,732,-1.78,1308.78,0.08,0.61
SABTNL,BE,1096.15,-5,2781.27,0.06,0.61
RNFI,SM,314,-1.75,783.51,0.19,0.61
SAWALIYA,ST,229.9,1.01,228.02,0.26,0.6
INDOBORAX,BE,258,0.02,827.92,0.23,0.6
RITCO,EQ,282.8,-1.15,809.45,0.21,0.6
BLBLIMITED,EQ,15.71,-2.84,83.05,3.75,0.6
MONQ50,EQ,79.95,-0.34,88.54,0.75,0.6
VOLERCAR,ST,209,-0.05,232.9,0.29,0.6
INFRAIETF,EQ,93.69,-0.73,342.87,0.64,0.6
UTINIFTETF,EQ,273.44,-0.88,63706.12,0.22,0.6
HDFCLIQUID,EQ,1024.71,0.04,44.21,0.06,0.6
ONWARDTEC,BE,338,0.79,768.34,0.17,0.59
VMARCIND,SM,479,-0.02,1169.75,0.13,0.59
BETA,SM,1945,0.71,1963.39,0.03,0.59
SGBJUN31I,GB,11158.01,-0.02,8668.98,0.01,0.59
TAKE,BE,11.29,-2.5,167.02,5.09,0.59
GILT5YBEES,EQ,62.42,0.05,293.09,0.94,0.59
GANESHBE,EQ,96,0.71,691.1,0.61,0.58
HESTERBIO,EQ,2015,-1.47,1714.13,0.03,0.58
IEL,BE,19.2,4.63,380.81,3.02,0.58
SALSTEEL,EQ,17.8,6.84,151.24,3.28,0.57
GHCLTEXTIL,EQ,79.9,-1.54,763.73,0.71,0.57
GULPOLY,EQ,166.31,-1.21,1037.29,0.34,0.57
ZEELEARN,BE,9.78,0.1,319.87,5.84,0.57
MOS,SM,46.05,-4.46,574.14,1.22,0.57
PARIN,SM,409.6,-3.63,455.39,0.14,0.57
SPENCERS,EQ,58.6,-2.74,528.17,0.95,0.56
NCLIND,EQ,216.45,-0.5,979.06,0.26,0.56
XCHANGING,EQ,87.99,-1.52,980.24,0.64,0.56
INDIANHUME,EQ,378.05,-1.24,1991.63,0.15,0.56
KHADIM,EQ,238.7,-0.91,438.69,0.23,0.55
PIGL,BE,151.53,2,262.04,0.37,0.55
APTECHT,BE,129,-2.77,748.22,0.43,0.55
INFRABEES,EQ,943.2,-0.52,164.09,0.06,0.55
DISHTV,EQ,5.19,-0.38,955.61,10.68,0.55
HGS,EQ,547,0.35,2544.66,0.1,0.55
SMSPHARMA,EQ,237,-1.59,2101.05,0.23,0.55
SHALPAINTS,EQ,72.9,-0.61,610.25,0.75,0.54
EMAMIPAP,EQ,96.1,2.22,581.4,0.56,0.54
SCPL,EQ,246.1,0,258.4,0.22,0.54
VIDHIING,EQ,370,0.26,1847.96,0.15,0.54
BSHSL,EQ,136.04,0.79,1427.57,0.39,0.54
ARIHANTSUP,EQ,413.05,0.18,1700.11,0.13,0.54
NILASPACES,EQ,13.84,-1.28,545.14,3.87,0.54
AVTNPL,EQ,73.29,0.98,1116.09,0.74,0.54
HEUBACHIND,EQ,591.05,-0.16,1364.25,0.09,0.54
SHREERAMA,EQ,42.25,-0.24,563.9,1.27,0.54
741GS2036,GS,106.4,-0.09,159600,0.5,0.53
RUBFILA,EQ,72.5,-1.01,393.44,0.73,0.53
ALPHAETF,EQ,25.27,0.04,438.93,2.08,0.53
TVTODAY,EQ,146.8,-1.04,875.94,0.36,0.53
HOACFOODS,ST,210,0.05,91.15,0.26,0.52
ANDHRSUGAR,EQ,79.06,-1.11,1071.54,0.66,0.52
UFO,EQ,76.24,-0.87,295.92,0.68,0.52
SINCLAIR,EQ,98,-1.1,502.35,0.53,0.52
NOVAAGRI,EQ,52.31,0.89,483.97,1,0.52
TVSINVIT,IV,103,0,2031.16,0.5,0.52
TECHERA,ST,202,3.48,333.72,0.26,0.51
TNPL,EQ,153.55,-0.88,1062.73,0.33,0.51
NILAINFRA,EQ,11.09,-0.81,436.82,4.56,0.51
CREATIVE,EQ,635,-1.72,953.56,0.08,0.51
OMAXE,EQ,90.36,-1.4,1652.69,0.56,0.5
ESSARSHPNG,BE,24.85,4.99,514.34,2.11,0.5
GEEKAYWIRE,EQ,69,-0.29,360.59,0.73,0.5
FCSSOFT,EQ,2.45,-0.81,418.84,20.64,0.5
KABRAEXTRU,EQ,249.9,-1.4,873.97,0.2,0.5
RAPPID,SM,340,4.94,176.53,0.15,0.5
UMAEXPORTS,BE,55.55,-1.99,187.81,0.87,0.49
GROWWLIQID,EQ,105.44,0.06,64.4,0.46,0.49
MANGALAM,EQ,80.21,0.59,126.96,0.59,0.48
UNICHEMLAB,EQ,511,1.43,3597.73,0.1,0.48
VALIANTORG,BE,347,-1.99,971.76,0.14,0.48
USASEEDS,SM,306,6.03,216.03,0.16,0.48
NAMOEWASTE,SM,173,-4.42,395.61,0.27,0.48
MACPOWER,EQ,828.9,-0.92,829.24,0.06,0.48
GVKPIL,BE,3.36,-2.04,530.42,14.25,0.48
TCPLPACK,EQ,3452.7,-0.46,3141.96,0.01,0.48
LICNETFN50,EQ,275.56,-1.16,869,0.17,0.48
BAFNAPH,EQ,95.52,-4.02,225.97,0.48,0.48
PRLIND,SM,85,-1.16,194.33,0.57,0.48
SYNCOMF,BE,17.38,-0.11,1633.72,2.74,0.48
INDORAMA,BE,53.71,0.36,1402.44,0.88,0.48
VIKASECO,EQ,2.18,-1.36,385.58,21.7,0.48
AMRUTANJAN,EQ,701.5,-1.54,2028.08,0.07,0.47
SMCGLOBAL,EQ,136.6,-0.01,1430.2,0.35,0.47
CIFL,EQ,35.49,0.31,1382.63,1.34,0.47
CONSUMIETF,EQ,126.28,0.07,66.65,0.37,0.47
TAINWALCHM,EQ,221.1,-2.52,207.04,0.21,0.47
HDFCMID150,EQ,21.71,-0.14,136.86,2.16,0.47
810IRFC27,N2,1105.05,0.09,3420.62,0.04,0.47
MEDICAMEQ,EQ,350.95,-3.25,475.99,0.13,0.47
LIQUIDSHRI,EQ,1067.38,0.04,35.08,0.04,0.47
IRMENERGY,EQ,278.5,-0.3,1143.51,0.17,0.46
AFSL,EQ,220.5,-0.71,1115.28,0.21,0.46
MID150CASE,EQ,10.69,-0.19,112.6,4.32,0.46
JAGRAN,EQ,72.7,-0.26,1582.35,0.63,0.46
846REC28,N6,1145.1,-4.42,1876.57,0.04,0.46
HLVLTD,EQ,12.19,-1.46,803.64,3.7,0.46
SGBMAY28,GB,10359,0.24,2635.63,0,0.46
AVG,EQ,231.15,-2.98,348.06,0.19,0.46
DHRUV,BE,64,1.59,121.39,0.73,0.45
5PAISA,EQ,371,-0.68,1159.09,0.12,0.45
YASHOPTICS,SM,114.5,0.04,283.57,0.4,0.45
TPLPLASTEH,EQ,80.02,1.85,624.18,0.56,0.45
SOFTTECH,EQ,394,2.48,544,0.11,0.45
LYKALABS,EQ,100.8,1.32,359.76,0.44,0.45
ALPL30IETF,EQ,27.43,-0.62,1798.29,1.64,0.45
DIGISPICE,EQ,27.06,-2.28,632.25,1.63,0.45
KCEIL,ST,344.6,1.41,421.24,0.13,0.45
IRIS,BE,329.95,0.73,677.66,0.14,0.44
MEGATHERM,SM,305,-1.01,574.64,0.14,0.44
734GS2064,GS,103.45,-0.05,247245.5,0.43,0.44
AKSHAR,EQ,0.56,9.8,44.1,81.16,0.44
AGSTRA,BE,5.83,-2.18,74.88,7.43,0.44
ETL,SM,1002,-1.86,1069.26,0.04,0.44
EEPL,SM,197,0.66,255.3,0.22,0.43
SVLL,BE,770,-1.28,885.01,0.06,0.43
BPL,EQ,82.68,-0.05,404.93,0.52,0.43
TARACHAND,EQ,72.6,0.43,572.27,0.6,0.43
ESG,EQ,42.84,-0.51,120.01,1,0.43
RUSHIL,EQ,23.18,-0.73,664.84,1.82,0.42
ALICON,EQ,845,-1.92,1380.46,0.05,0.42
ENVIRO,SM,143.25,2.8,269.17,0.29,0.42
MEDISTEP,ST,41.05,-4.98,58.33,1.02,0.42
DIVOPPBEES,EQ,76.75,-1.01,77.04,0.54,0.42
MIDCAP,EQ,167.83,0.29,75.04,0.24,0.41
A2ZINFRA,BE,18.4,1.94,324.06,2.23,0.41
VLEGOV,BE,37.08,1.26,402.14,1.12,0.41
QGOLDHALF,EQ,82.52,0.23,359.79,0.49,0.41
MOMOMENTUM,EQ,62.13,-0.14,130.1,0.65,0.41
ACCENTMIC,ST,299,-2.73,717.27,0.14,0.41
ARVINDPORT,ST,52.9,-4.77,94.15,0.77,0.4
SENSEXIETF,EQ,934.62,-0.18,22730.03,0.04,0.4
DENORA,EQ,876,-0.41,465.04,0.05,0.4
