Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ASIANENE,EQ,334.45,0.15,1497.48,1.08,3.62
NRBBEARING,EQ,298.15,-0.8,2889.75,1.2,3.62
EMSLIMITED,EQ,556,-0.13,3087.51,0.64,3.56
CARRARO,EQ,425.55,1.18,2419.32,0.84,3.56
FMCGIETF,EQ,59.65,-0.62,636.55,5.93,3.53
SHK,EQ,224.2,-1.56,3103.39,1.56,3.53
SPAL,EQ,732.4,-3.56,1837.78,0.47,3.52
GATEWAY,EQ,68.65,-0.87,3430.05,5.11,3.5
CAPINVIT,IV,79.9,-0.13,2200.45,4.38,3.5
BOROLTD,EQ,344.05,2.02,4113.16,1.02,3.48
BIRET,RR,323,0.44,19630.4,1.07,3.46
KSB,EQ,805.5,1.27,14018.86,0.43,3.46
RBA,EQ,80.41,0.29,4681.41,4.3,3.45
KANDARP,SM,120,3.05,107.68,2.88,3.45
ANZEN,IV,115,0,2256.23,3,3.43
20MICRONS,EQ,234.6,0.98,827.82,1.45,3.42
RATNAMANI,EQ,2427.5,-0.72,17014.83,0.14,3.42
SOLARA,EQ,632.5,0.31,2286.76,0.54,3.41
AXISNIFTY,EQ,272.27,-0.99,1005.28,1.25,3.41
GGBL,SM,469,5.67,1163.17,0.73,3.37
SGFIN,EQ,382.9,-1.86,2140.22,0.88,3.36
SGLTL,BE,181,-2.45,3610.8,1.83,3.36
SPLPETRO,EQ,788,-4.44,14817.66,0.42,3.35
DAMCAPITAL,EQ,223.07,-0.96,1576.79,1.49,3.34
GREENPOWER,EQ,14.32,-0.76,1679.78,23.4,3.34
LAXMIDENTL,EQ,352.65,0.94,1938.24,0.95,3.34
C2C,SM,744,1.56,1238.1,0.44,3.34
VPRPL,EQ,149.1,-1.75,1858.44,2.22,3.33
VSTIND,EQ,276,-2.04,4688.17,1.19,3.31
ANUP,EQ,2294.9,-0.62,4595.87,0.14,3.3
BLUSPRING,EQ,81.65,-1.16,1216.17,4.03,3.29
GTLINFRA,EQ,1.54,0,1958.32,215.28,3.29
EIHAHOTELS,EQ,402.9,-0.75,2455.12,0.8,3.27
LOWVOLIETF,EQ,22.38,-0.44,3776.7,14.5,3.25
CPSEETF,EQ,89.7,-0.3,32864.3,3.6,3.24
IONEXCHANG,EQ,444.9,-1.52,6525.2,0.72,3.23
GANECOS,EQ,1361.3,-2.23,3465.46,0.24,3.23
ZEEMEDIA,EQ,12.69,0.16,793.67,25.23,3.22
RELAXO,EQ,476.5,-0.96,11861.92,0.67,3.21
MOLDTKPAC,EQ,791.9,-1.96,2631.4,0.4,3.21
WESTLIFE,EQ,699.95,-1.5,10894.29,0.46,3.21
ALPHA,EQ,49.1,-0.02,714.05,6.52,3.21
SANSTAR,EQ,83.9,-1.31,1529.03,3.81,3.2
AJMERA,EQ,897,-1.95,3530.51,0.35,3.17
SKFINDIA,EQ,4492.1,-0.38,22208.03,0.07,3.17
SILVERETF,EQ,111.3,0.83,348.4,2.83,3.15
FCL,EQ,257.4,1.88,2949.16,1.24,3.14
CHEMBONDCH,EQ,217.18,20,584.14,1.49,3.13
SILVER1,EQ,111.16,0.62,1509.68,2.78,3.1
SHILPAMED,BE,859,-0.05,8400.24,0.36,3.09
ISGEC,EQ,1019,-0.94,7492.66,0.3,3.08
FLAIR,EQ,312,-0.49,3288.34,0.98,3.06
SIGNPOST,EQ,285,1.82,1523.33,1.09,3.06
NELCO,EQ,840,0.31,1916.75,0.36,3.05
AKZOINDIA,EQ,3402.6,0.12,15495.55,0.09,3.04
SEPC,EQ,11.9,-1,2308.79,25.37,3.02
TVSSCS,EQ,131.88,-0.48,5818.23,2.29,3.02
UNITECH,BZ,7.4,4.96,1934.83,41.04,3.02
TIRUPATIFL,EQ,41.85,-4.06,499.19,7,3.01
DSSL,EQ,1000.1,1.42,1272.66,0.3,3.01
SUNTV,EQ,574.5,-0.32,22640.16,0.52,3.01
TRIVENI,EQ,340.05,-0.44,7443.63,0.89,3
SILVERADD,EQ,110.54,0.78,943.55,2.71,2.99
SUBROS,EQ,869.55,0.7,5672.57,0.34,2.98
PRECWIRE,EQ,177.15,-2.38,3164.93,1.67,2.97
KOKUYOCMLN,EQ,116.35,1.7,1167.03,2.5,2.97
MAFANG,EQ,154.89,-0.87,3830.49,1.91,2.96
GEOJITFSL,EQ,73.4,-1.83,2048.76,3.98,2.95
PSB,EQ,28.85,-2.24,20470.76,10.08,2.92
SPANDANA,EQ,248.95,1.38,1775.14,1.18,2.91
ORISSAMINE,EQ,4925,-1.99,2955,0.06,2.91
GREENLAM,EQ,231,-0.76,5893.91,1.25,2.91
PICCADIL,EQ,595.8,-0.5,5620.73,0.49,2.91
BEPL,EQ,107.15,-0.95,2666.52,2.7,2.91
MAXVOLT,ST,245,3.22,267.15,1.27,2.9
NOCIL,EQ,183.1,-1.06,3058.23,1.57,2.89
INDIGOPNTS,EQ,1130,-0.49,5382.72,0.25,2.88
SHARDAMOTR,EQ,1060.5,-1.92,6088.09,0.27,2.88
HIMATSEIDE,EQ,127.05,-2.15,1597.56,2.26,2.87
SHREEPUSHK,EQ,334.5,-2.65,1081.7,0.85,2.86
APLLTD,EQ,977,0.94,19204.22,0.3,2.86
NIITLTD,EQ,112.29,-1.63,1529.38,2.54,2.86
LUXIND,EQ,1304.5,-1.67,3922.85,0.22,2.86
TTML,BE,59.03,0.84,11539.94,4.86,2.86
ABAN,EQ,49.5,8.86,288.91,5.79,2.85
CENTURYPLY,EQ,734,-0.89,16307.5,0.38,2.84
SPARC,EQ,146.1,0.72,4740.94,1.95,2.84
ARROWGREEN,EQ,577,-3.52,870.57,0.49,2.83
TOLINS,EQ,149.5,3.32,590.66,1.9,2.8
NDRAUTO,EQ,1025,1.75,2437.99,0.27,2.8
NEOGEN,EQ,1422.1,-1.9,3751.74,0.19,2.79
CONSUMBEES,EQ,135.65,-0.54,176.28,2.05,2.79
RML,EQ,891,0.47,2462.47,0.31,2.77
PURVA,EQ,288.3,0.47,6837.03,0.96,2.76
SILVRETF,EQ,111.85,0.81,164.12,2.46,2.76
PDMJEPAPER,EQ,132.99,1.04,1262.74,2.05,2.74
INFLUX,SM,164.9,4.4,381.75,1.67,2.73
LMW,EQ,15090,-2.3,16120.65,0.02,2.72
NIFTYETF,EQ,268.3,-0.81,4542.87,1.01,2.72
SANATHAN,EQ,510,1.15,4304.61,0.54,2.72
STYLAMIND,EQ,1643.8,0.76,2785.92,0.17,2.71
GAEL,EQ,103.6,-1.15,4751.83,2.61,2.71
